时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-01-20 09:30:00,0.0,0.61,0.61,0.61,424515,25895415.0,0.61
2025-01-20 09:31:00,0.0,0.612,0.613,0.61,1407380,86055397.0,0.6111
2025-01-20 09:32:00,0.0,0.612,0.613,0.612,332985,20392445.0,0.6113
2025-01-20 09:33:00,0.0,0.612,0.614,0.612,1058334,64831214.0,0.6117
2025-01-20 09:34:00,0.0,0.612,0.613,0.612,839947,51456540.0,0.6119
2025-01-20 09:35:00,0.0,0.612,0.613,0.612,487096,29851853.0,0.612
2025-01-20 09:36:00,0.0,0.612,0.613,0.612,1271094,77916741.0,0.6122
2025-01-20 09:37:00,0.0,0.611,0.612,0.611,381296,23324539.0,0.6122
2025-01-20 09:38:00,0.0,0.611,0.612,0.611,437351,26727937.0,0.6121
2025-01-20 09:39:00,0.0,0.612,0.613,0.611,780769,47784434.0,0.6121
2025-01-20 09:40:00,0.0,0.612,0.613,0.612,327357,20038278.0,0.6121
2025-01-20 09:41:00,0.0,0.611,0.613,0.611,509294,31156191.0,0.6121
2025-01-20 09:42:00,0.0,0.611,0.611,0.61,368254,22500356.0,0.612
2025-01-20 09:43:00,0.0,0.611,0.611,0.61,417228,25489163.0,0.612
2025-01-20 09:44:00,0.0,0.611,0.612,0.611,65060,3977377.0,0.612
2025-01-20 09:45:00,0.0,0.612,0.612,0.611,659976,40387642.0,0.612
2025-01-20 09:46:00,0.0,0.613,0.613,0.612,798303,48935813.0,0.6121
2025-01-20 09:47:00,0.0,0.614,0.614,0.613,1162552,71340048.0,0.6122
2025-01-20 09:48:00,0.0,0.616,0.617,0.614,1159161,71332163.0,0.6125
2025-01-20 09:49:00,0.0,0.615,0.617,0.615,717424,44195489.0,0.6127
2025-01-20 09:50:00,0.0,0.616,0.616,0.615,654154,40293996.0,0.6128
2025-01-20 09:51:00,0.0,0.616,0.617,0.615,235129,14481873.0,0.6129
2025-01-20 09:52:00,0.0,0.616,0.617,0.615,528769,32572838.0,0.613
2025-01-20 09:53:00,0.0,0.616,0.616,0.615,271047,16691375.0,0.6131
2025-01-20 09:54:00,0.0,0.615,0.616,0.615,423077,26057707.0,0.6131
2025-01-20 09:55:00,0.0,0.615,0.616,0.615,725262,44674213.0,0.6133
2025-01-20 09:56:00,0.0,0.615,0.616,0.615,227249,13993181.0,0.6133
2025-01-20 09:57:00,0.0,0.615,0.616,0.615,354930,21828655.0,0.6133
2025-01-20 09:58:00,0.0,0.615,0.615,0.614,297704,18304543.0,0.6133
2025-01-20 09:59:00,0.0,0.614,0.615,0.613,512717,31480861.0,0.6134
2025-01-20 10:00:00,0.0,0.615,0.615,0.614,485257,29842105.0,0.6134
2025-01-20 10:01:00,0.0,0.615,0.616,0.614,348970,21461948.0,0.6134
2025-01-20 10:02:00,0.0,0.615,0.615,0.614,189500,11653124.0,0.6135
2025-01-20 10:03:00,0.0,0.615,0.616,0.615,524852,32278580.0,0.6135
2025-01-20 10:04:00,0.0,0.615,0.615,0.614,218430,13433476.0,0.6135
2025-01-20 10:05:00,0.0,0.615,0.616,0.615,53170,3271390.0,0.6135
2025-01-20 10:06:00,0.0,0.614,0.616,0.614,175397,10785155.0,0.6135
2025-01-20 10:07:00,0.0,0.613,0.615,0.613,340553,20910031.0,0.6135
2025-01-20 10:08:00,0.0,0.614,0.614,0.613,249997,15347113.0,0.6135
2025-01-20 10:09:00,0.0,0.613,0.615,0.613,93602,5745621.0,0.6135
2025-01-20 10:10:00,0.0,0.613,0.614,0.613,83681,5129983.0,0.6135
2025-01-20 10:11:00,0.0,0.614,0.614,0.613,91795,5628480.0,0.6135
2025-01-20 10:12:00,0.0,0.613,0.614,0.613,126276,7751790.0,0.6135
