ts_code,trade_date,open,high,close,low,vol
513130.SH,20210601,0.997,1.019,1.019,0.995,4344415
513130.SH,20210602,1.021,1.027,1.014,1.013,1497941
513130.SH,20210603,1.018,1.025,1.011,1.01,1039006
513130.SH,20210604,1.011,1.014,1.006,1.004,703026
513130.SH,20210607,1.008,1.01,1.002,0.998,641373
513130.SH,20210608,1.002,1.005,0.992,0.99,827086
513130.SH,20210609,0.992,0.996,0.991,0.988,414685
513130.SH,20210610,0.989,1,0.991,0.989,982557
513130.SH,20210611,0.995,1,0.991,0.99,516128
513130.SH,20210615,0.995,0.997,0.986,0.98,587525
513130.SH,20210616,0.985,0.985,0.976,0.975,473120
513130.SH,20210617,0.974,0.983,0.983,0.969,573869
513130.SH,20210618,0.986,1.006,1,0.986,857950
513130.SH,20210621,0.997,0.999,0.992,0.989,545124
513130.SH,20210622,0.994,0.994,0.982,0.981,439229
513130.SH,20210623,0.986,1.006,1.004,0.983,952941
513130.SH,20210624,1.004,1.011,1.006,1.002,845045
513130.SH,20210625,1.011,1.027,1.026,1.01,1345504
513130.SH,20210628,1.026,1.034,1.03,1.025,587774
513130.SH,20210629,1.031,1.037,1.017,1.017,515878
513130.SH,20210630,1.022,1.029,1.021,1.018,418318
513130.SH,20210701,1.02,1.023,1.01,1.009,305476
513130.SH,20210702,1.012,1.013,0.99,0.988,680451
513130.SH,20210705,0.99,0.991,0.969,0.964,1019550
513130.SH,20210706,0.97,0.972,0.96,0.952,768878
513130.SH,20210707,0.952,0.957,0.952,0.946,796996
513130.SH,20210708,0.955,0.956,0.924,0.92,1160243
513130.SH,20210709,0.923,0.938,0.937,0.904,1041104
513130.SH,20210712,0.944,0.951,0.943,0.933,757138
513130.SH,20210713,0.946,0.966,0.959,0.943,792914
513130.SH,20210714,0.956,0.965,0.959,0.956,442769
513130.SH,20210715,0.963,0.963,0.962,0.956,378208
513130.SH,20210716,0.962,0.962,0.957,0.953,359422
513130.SH,20210719,0.955,0.955,0.937,0.933,507901
513130.SH,20210720,0.93,0.939,0.925,0.92,925962
513130.SH,20210721,0.928,0.932,0.92,0.918,783252
513130.SH,20210722,0.925,0.936,0.933,0.925,480746
513130.SH,20210723,0.934,0.937,0.918,0.917,551510
513130.SH,20210726,0.9,0.902,0.867,0.855,1514906
513130.SH,20210727,0.858,0.858,0.796,0.792,2238989
513130.SH,20210728,0.808,0.818,0.805,0.785,2113395
513130.SH,20210729,0.837,0.866,0.859,0.836,2159416.08
513130.SH,20210730,0.851,0.851,0.839,0.83,1299122
513130.SH,20210802,0.842,0.856,0.851,0.836,1279618
513130.SH,20210803,0.852,0.852,0.841,0.825,1267360
513130.SH,20210804,0.838,0.867,0.859,0.831,1386594
513130.SH,20210805,0.857,0.866,0.84,0.839,1231879
513130.SH,20210806,0.844,0.847,0.843,0.835,896145
513130.SH,20210809,0.832,0.847,0.842,0.827,1129662
513130.SH,20210810,0.848,0.858,0.856,0.842,1175194
513130.SH,20210811,0.857,0.864,0.858,0.851,1007977
513130.SH,20210812,0.855,0.857,0.845,0.843,861597
513130.SH,20210813,0.844,0.844,0.826,0.823,1143912
513130.SH,20210816,0.825,0.825,0.807,0.806,1389830
513130.SH,20210817,0.805,0.805,0.784,0.78,2002226
513130.SH,20210818,0.784,0.791,0.785,0.781,1146369
513130.SH,20210819,0.788,0.788,0.768,0.765,2013966
513130.SH,20210820,0.765,0.765,0.744,0.731,3074261
513130.SH,20210823,0.757,0.774,0.76,0.755,1814756.96
513130.SH,20210824,0.772,0.8,0.799,0.772,2536632
513130.SH,20210825,0.822,0.833,0.805,0.803,2817323.66
513130.SH,20210826,0.806,0.811,0.79,0.782,1812798
513130.SH,20210827,0.792,0.81,0.79,0.79,1335492
513130.SH,20210830,0.796,0.804,0.799,0.788,1685876
513130.SH,20210831,0.802,0.819,0.818,0.791,1708027
513130.SH,20210901,0.828,0.852,0.836,0.822,2841672
513130.SH,20210902,0.854,0.864,0.848,0.845,1561561
513130.SH,20210903,0.85,0.85,0.837,0.834,1213023.44
513130.SH,20210906,0.838,0.848,0.845,0.832,1463710
513130.SH,20210907,0.856,0.868,0.863,0.851,1208275
513130.SH,20210908,0.866,0.872,0.859,0.851,1400451
513130.SH,20210909,0.846,0.846,0.825,0.824,2858692
513130.SH,20210910,0.83,0.843,0.835,0.828,1332069
513130.SH,20210913,0.83,0.83,0.819,0.814,1109598
513130.SH,20210914,0.824,0.828,0.809,0.807,1318157
513130.SH,20210915,0.805,0.805,0.789,0.788,1444416
513130.SH,20210916,0.788,0.793,0.773,0.771,2675234
513130.SH,20210917,0.778,0.808,0.807,0.778,1704042.52
513130.SH,20210922,0.786,0.797,0.796,0.785,578442
513130.SH,20210923,0.805,0.808,0.789,0.786,1645792
513130.SH,20210924,0.791,0.792,0.776,0.774,1429886
513130.SH,20210927,0.777,0.782,0.767,0.765,1503959
513130.SH,20210928,0.772,0.783,0.78,0.769,1428882
513130.SH,20210929,0.768,0.772,0.771,0.757,1685209
513130.SH,20210930,0.764,0.769,0.767,0.759,1577526
513130.SH,20211008,0.791,0.796,0.774,0.769,2066648
513130.SH,20211011,0.782,0.802,0.795,0.782,1825716
513130.SH,20211012,0.786,0.789,0.777,0.775,1654841
513130.SH,20211013,0.777,0.782,0.782,0.773,656915
