时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-01-13 09:30:00,0.0,0.57,0.57,0.57,277210,15800970.0,0.57
2025-01-13 09:31:00,0.0,0.571,0.571,0.569,435117,24822628.0,0.5703
2025-01-13 09:32:00,0.0,0.568,0.571,0.568,619062,35251367.0,0.5699
2025-01-13 09:33:00,0.0,0.569,0.569,0.568,1074468,61066452.0,0.5692
2025-01-13 09:34:00,0.0,0.569,0.57,0.569,221732,12617893.0,0.5692
2025-01-13 09:35:00,0.0,0.568,0.569,0.568,316126,17959382.0,0.5691
2025-01-13 09:36:00,0.0,0.568,0.569,0.567,645940,36689145.0,0.5689
2025-01-13 09:37:00,0.0,0.567,0.568,0.566,481853,27321619.0,0.5687
2025-01-13 09:38:00,0.0,0.569,0.569,0.566,562431,31917162.0,0.5685
2025-01-13 09:39:00,0.0,0.568,0.569,0.567,311345,17683882.0,0.5685
2025-01-13 09:40:00,0.0,0.566,0.568,0.566,511284,28991498.0,0.5683
2025-01-13 09:41:00,0.0,0.566,0.567,0.566,677162,38328903.0,0.5681
2025-01-13 09:42:00,0.0,0.566,0.567,0.565,599800,33948499.0,0.5679
2025-01-13 09:43:00,0.0,0.564,0.566,0.563,960596,54224256.0,0.5675
2025-01-13 09:44:00,0.0,0.563,0.564,0.563,1639393,92462859.0,0.5669
2025-01-13 09:45:00,0.0,0.564,0.564,0.563,106098,5982003.0,0.5668
2025-01-13 09:46:00,0.0,0.563,0.564,0.562,933092,52531014.0,0.5665
2025-01-13 09:47:00,0.0,0.564,0.564,0.563,209972,11841300.0,0.5664
2025-01-13 09:48:00,0.0,0.564,0.564,0.563,203518,11477925.0,0.5664
2025-01-13 09:49:00,0.0,0.564,0.565,0.563,385157,21722303.0,0.5663
2025-01-13 09:50:00,0.0,0.565,0.566,0.564,342766,19367798.0,0.5663
2025-01-13 09:51:00,0.0,0.566,0.567,0.565,570880,32312752.0,0.5663
2025-01-13 09:52:00,0.0,0.566,0.566,0.565,308110,17438314.0,0.5662
2025-01-13 09:53:00,0.0,0.567,0.567,0.566,90302,5119782.0,0.5663
2025-01-13 09:54:00,0.0,0.568,0.568,0.567,497989,28242296.0,0.5663
2025-01-13 09:55:00,0.0,0.567,0.569,0.567,449677,25542585.0,0.5663
2025-01-13 09:56:00,0.0,0.567,0.568,0.567,89102,5056025.0,0.5664
2025-01-13 09:57:00,0.0,0.567,0.568,0.566,255723,14499856.0,0.5664
2025-01-13 09:58:00,0.0,0.567,0.568,0.566,235378,13346258.0,0.5664
2025-01-13 09:59:00,0.0,0.568,0.568,0.567,26932,1527602.0,0.5664
2025-01-13 10:00:00,0.0,0.567,0.567,0.566,124960,7084364.0,0.5664
2025-01-13 10:01:00,0.0,0.566,0.567,0.566,166798,9457374.0,0.5664
2025-01-13 10:02:00,0.0,0.568,0.568,0.567,203324,11528507.0,0.5664
2025-01-13 10:03:00,0.0,0.568,0.568,0.567,356660,20256768.0,0.5664
2025-01-13 10:04:00,0.0,0.567,0.568,0.567,443411,25161330.0,0.5665
2025-01-13 10:05:00,0.0,0.567,0.568,0.567,256499,14543518.0,0.5665
2025-01-13 10:06:00,0.0,0.567,0.568,0.567,52063,2952040.0,0.5665
2025-01-13 10:07:00,0.0,0.566,0.567,0.566,294027,16642132.0,0.5665
2025-01-13 10:08:00,0.0,0.566,0.567,0.565,336083,19022070.0,0.5665
2025-01-13 10:09:00,0.0,0.565,0.566,0.565,154153,8721284.0,0.5665
2025-01-13 10:10:00,0.0,0.566,0.566,0.565,88924,5025018.0,0.5664
2025-01-13 10:11:00,0.0,0.566,0.566,0.565,30836,1744378.0,0.5664
2025-01-13 10:12:00,0.0,0.565,0.566,0.565,508719,28742893.0,0.5664
2025-01-13 10:13:00,0.0,0.565,0.566,0.564,136547,7712822.0,0.5664
2025-01-13 10:14:00,0.0,0.565,0.565,0.564,32771,1849206.0,0.5664
2025-01-13 10:15:00,0.0,0.565,0.565,0.564,22985,1297074.0,0.5664
2025-01-13 10:16:00,0.0,0.565,0.565,0.565,33328,1881970.0,0.5664
2025-01-13 10:17:00,0.0,0.566,0.566,0.564,210582,11899492.0,0.5664
2025-01-13 10:18:00,0.0,0.566,0.566,0.565,12189,689668.0,0.5664
